"Feature","MnSignal","Pval","LogPval","F.stat","Fold","Den.df"
"ERCC-00002",1162406.125,7.38803630825703e-11,-23.3285740461189,173.958732813147,0.5,12.5151702690247
"ERCC-00003",95757.625,4.71534691169453e-21,-46.8034644633149,2400.63834613629,0.5,12.5151702690247
"ERCC-00004",128395.25,9.39876394836649e-27,-59.9292193250641,9965.3635259917,4,12.5151702690247
"ERCC-00009",36223.125,0.283770684811764,-1.25958881482843,1.21862958077782,1,12.5151702690247
"ERCC-00012",7.25,0.55293581014366,-0.592513359886691,0.365256545726427,0.667,12.5151702690247
"ERCC-00013",97.625,6.20890988821695e-06,-11.989525218778,38.8183079279962,0.5,12.5151702690247
"ERCC-00014",67.125,0.000354617654160733,-7.94447037943617,19.0214064315903,0.5,12.5151702690247
"ERCC-00016",6.25,0.340031260343294,-1.07871772341219,0.959126566065592,0.667,12.5151702690247
"ERCC-00017",3.25,0.0144164043811467,-4.23938852765312,7.28827048094675,4,12.5151702690247
"ERCC-00019",679.875,7.34307026478572e-15,-32.5450193475389,500.729488193514,4,12.5151702690247
"ERCC-00022",11023.625,6.63139568291944e-17,-37.2521312886109,844.234487460299,0.5,12.5151702690247
"ERCC-00024",9.25,0.985200893932922,-0.0149097053742882,0.000353481888004613,0.667,12.5151702690247
"ERCC-00025",2123.625,0.496096120534518,-0.700985579632099,0.482093878533528,1,12.5151702690247
"ERCC-00028",128.5,5.26147497920759e-10,-21.3654395282016,137.370771117014,4,12.5151702690247
"ERCC-00031",97.5,0.378102320829914,-0.972590429966256,0.815486130351824,1,12.5151702690247
"ERCC-00033",54.125,4.72990334137297e-05,-9.95902069790289,27.7863831117171,4,12.5151702690247
"ERCC-00034",813.25,0.811336865099156,-0.209071941073026,0.0586296236762467,1,12.5151702690247
"ERCC-00035",4181.75,0.13620745729353,-1.99357613424334,2.42676498529519,1,12.5151702690247
"ERCC-00039",174.5,0.0010959163932864,-6.81616437686386,14.9056133665174,0.667,12.5151702690247
"ERCC-00040",41.375,0.442876419611064,-0.814464510357519,0.614871536072687,0.667,12.5151702690247
"ERCC-00041",18.875,0.0650455151462679,-2.73266802111575,3.84715415136771,0.5,12.5151702690247
"ERCC-00042",26815.5,0.112597256124741,-2.18393793191501,2.77464055810397,1,12.5151702690247
"ERCC-00043",48165.25,2.4398415979343e-20,-45.1597687415625,2007.23373970085,0.5,12.5151702690247
"ERCC-00044",3102.375,4.20051187438659e-09,-19.2880594442293,106.242510507157,0.667,12.5151702690247
"ERCC-00046",204700.25,2.15240447732875e-21,-47.5877013740875,2614.42221261358,0.5,12.5151702690247
"ERCC-00048",3.5,0.485111381470258,-0.723376761894761,0.507483588909002,0.5,12.5151702690247
"ERCC-00051",528.75,0.65473667596827,-0.423522145601651,0.206590521050026,1,12.5151702690247
"ERCC-00053",1505.125,0.918350794409911,-0.085175832367502,0.0107992212645301,1,12.5151702690247
"ERCC-00054",290.25,0.00179390868562337,-6.32335841651647,13.2662854134048,0.667,12.5151702690247
"ERCC-00058",101.75,0.000839043297272077,-7.0832482470216,15.8331890891935,0.667,12.5151702690247
"ERCC-00059",855.5,1.36685618060458e-10,-22.7133375857769,161.646679673272,0.5,12.5151702690247
"ERCC-00060",12989.5,0.148448479102589,-1.90751732300782,2.2738292215214,1,12.5151702690247
"ERCC-00061",4.5,0.429030088670781,-0.84622822575186,0.653786150764734,0.5,12.5151702690247
"ERCC-00062",1950.375,4.20451024674921e-17,-37.7077887635199,887.714977056896,4,12.5151702690247
"ERCC-00067",85.5,0.116280544480924,-2.15174952080394,2.71490965018343,1,12.5151702690247
"ERCC-00069",188.5,2.43983266586609e-07,-15.226166193568,62.3163794262228,0.5,12.5151702690247
"ERCC-00071",2340.875,1.91447212384795e-10,-22.3764089986503,155.243077265548,0.667,12.5151702690247
"ERCC-00073",51,0.554984396862961,-0.588815279391332,0.361463998944887,1,12.5151702690247
"ERCC-00074",703025.875,1.14069467455417e-11,-25.1967985824707,216.779258031849,0.667,12.5151702690247
"ERCC-00075",6.25,0.207857710400955,-1.57090151798426,1.70319629645823,1,12.5151702690247
"ERCC-00076",8609.375,9.11071682540399e-15,-32.3293250011796,488.792806401631,0.667,12.5151702690247
"ERCC-00077",70.75,0.000104763034276685,-9.16380957466742,24.0920263020206,0.5,12.5151702690247
"ERCC-00078",3255.5,1.31941409080349e-15,-34.2615886274555,606.324691049287,0.5,12.5151702690247
"ERCC-00079",4246.125,2.55979526837628e-15,-33.5988491129078,563.220811473308,0.5,12.5151702690247
"ERCC-00081",15.5,0.997945775167658,-0.0020563376461315,6.80987680309128e-06,0.5,12.5151702690247
"ERCC-00084",1711,5.22824856556557e-11,-23.6743596832443,181.246479363502,0.667,12.5151702690247
"ERCC-00085",189.375,2.49336574420674e-07,-15.2044621487111,62.1297346982748,4,12.5151702690247
"ERCC-00086",18.125,0.150848241536944,-1.89148097047555,2.24563702598599,0.5,12.5151702690247
"ERCC-00092",7139.375,3.11395714759486e-22,-49.520977733761,3225.67818981375,4,12.5151702690247
"ERCC-00095",1605.125,4.11986760085371e-15,-33.1229553677807,534.118369503149,4,12.5151702690247
"ERCC-00096",482454,0.116435334685933,-2.15041922715668,2.71244893040136,1,12.5151702690247
"ERCC-00097",9.25,0.00185957114242082,-6.28740938643301,13.1502749981846,4,12.5151702690247
"ERCC-00098",6.875,0.252344231111167,-1.37696112712225,1.39602627098701,0.667,12.5151702690247
"ERCC-00099",1073.125,9.44685881018291e-08,-16.174998458743,70.9202479910027,0.667,12.5151702690247
"ERCC-00104",3.5,0.630860355591159,-0.460670747444458,0.238731996412199,1,12.5151702690247
"ERCC-00108",31505.875,4.96140833235733e-26,-58.2655227794358,8323.27439815785,4,12.5151702690247
"ERCC-00109",29.75,0.31206836324528,-1.16453300220875,1.08005042449221,1,12.5151702690247
"ERCC-00111",34367.75,7.11435552516535e-16,-34.8792468402033,649.371791113022,0.667,12.5151702690247
"ERCC-00112",3968.625,1.0277630154792e-15,-34.5113917841433,623.389343446703,0.5,12.5151702690247
"ERCC-00113",211043.375,1.01955191389109e-19,-43.729753536218,1717.41771300879,0.667,12.5151702690247
"ERCC-00116",5191,3.40592851236455e-20,-44.8261842665969,1935.57032210729,4,12.5151702690247
"ERCC-00117",2.25,0.911463630855723,-0.0927035859823074,0.0127063946547997,1,12.5151702690247
"ERCC-00120",25.25,0.0192785032466895,-3.94876462524641,6.5688566798464,0.667,12.5151702690247
"ERCC-00123",10.5,0.0329946701908297,-3.4114092399285,5.30881484247025,4,12.5151702690247
"ERCC-00126",113.875,0.269303863839906,-1.31191493155156,1.29688421185925,1,12.5151702690247
"ERCC-00130",701777.875,1.17973159451835e-20,-45.8864149095494,2172.57135425504,4,12.5151702690247
"ERCC-00131",2970.875,4.33796350497742e-19,-42.2817117673859,1466.19127909455,4,12.5151702690247
"ERCC-00134",11.75,0.0013043251340009,-6.64206951066644,14.3159356585947,4,12.5151702690247
"ERCC-00136",32089.25,1.39762889835258e-20,-45.7169247031301,2132.8378705054,4,12.5151702690247
"ERCC-00137",42.5,0.129727785437891,-2.04231698209228,2.51459380101825,0.5,12.5151702690247
"ERCC-00138",4.875,0.445508406817486,-0.808539161727465,0.607693584173449,1,12.5151702690247
"ERCC-00142",4.625,0.408221470520025,-0.895945431949383,0.716128175435588,1,12.5151702690247
"ERCC-00143",231.25,0.000679906056409831,-7.29355592167652,16.5835307294089,0.667,12.5151702690247
"ERCC-00144",464.75,2.35852794342891e-14,-31.3781536302782,439.348882641826,4,12.5151702690247
"ERCC-00145",37331.375,2.61279617219284e-17,-38.1835256026869,935.45404937163,0.667,12.5151702690247
"ERCC-00147",26.75,2.99369937689803e-05,-10.4164155925318,30.0621678383269,4,12.5151702690247
"ERCC-00148",425,0.556144561152205,-0.586727016453925,0.359328234723286,1,12.5151702690247
"ERCC-00150",43.5,0.632781714841379,-0.457629758582432,0.236038781996165,1,12.5151702690247
"ERCC-00154",164.75,6.20248762543280e-11,-23.5034855814461,177.611114167123,4,12.5151702690247
