"Feature","MnSignal","Pval","Fold"
"ERCC-00002",17200.8570974211,0.330828946111485,0.5
"ERCC-00003",1998.09187628411,2.10033033188676e-07,0.5
"ERCC-00004",13007.5925027069,1.20499948338899e-06,4
"ERCC-00009",9318.50125369306,0.231925518453811,1
"ERCC-00014",143.980547631601,0.00113839451069986,0.5
"ERCC-00019",385.509000764688,2.1961241928495e-12,4
"ERCC-00022",1529.84520282319,6.66324236413289e-10,0.5
"ERCC-00025",586.000103128705,0.0537189861815378,1
"ERCC-00034",140.639834644742,0.949525521772683,1
"ERCC-00035",519.430375008271,0.0098150329284182,1
"ERCC-00039",164.629335111686,0.000124500015842804,0.667
"ERCC-00042",3355.10018321634,0.0803695324905203,1
"ERCC-00043",3500.99213932076,1.27365106977063e-09,0.5
"ERCC-00044",1079.95584853531,4.6797858594503e-08,0.667
"ERCC-00046",12217.3771932584,0.000142529737607854,0.5
"ERCC-00051",615.597429760076,0.129197530507962,1
"ERCC-00053",319.475236467182,0.236332746896509,1
"ERCC-00054",350.621028768327,1.11103680087157e-06,0.667
"ERCC-00059",469.952438750553,1.54914605196838e-08,0.5
"ERCC-00060",3792.16432699339,0.0446691973177068,1
"ERCC-00062",424.148575287665,1.06447819304648e-10,4
"ERCC-00067",137.225175821785,0.504195214547364,1
"ERCC-00069",160.912129069897,2.03876161773455e-06,0.5
"ERCC-00071",1129.17427653123,4.86222507542923e-09,0.667
"ERCC-00073",128.024722417274,0.81410091891195,1
"ERCC-00074",15524.6407905534,0.860340510166757,0.667
"ERCC-00076",2175.38157716189,5.70645861358168e-06,0.667
"ERCC-00077",189.662290026919,6.19511449638161e-06,0.5
"ERCC-00078",721.044275140384,2.81014986714087e-10,0.5
"ERCC-00079",1212.2565140693,2.75928110182841e-11,0.5
"ERCC-00084",475.469795170547,5.37015308833612e-07,0.667
"ERCC-00085",149.779472514102,0.00424391468363047,4
"ERCC-00092",1526.48461744651,6.87677510681318e-13,4
"ERCC-00095",1274.11926992606,1.05038677452897e-12,4
"ERCC-00096",16921.4832390915,0.582583512602658,1
"ERCC-00099",262.945719973542,3.56479944304186e-05,0.667
"ERCC-00108",5077.14055791647,2.81383553285606e-11,4
"ERCC-00111",3166.87695541677,7.1602463832974e-09,0.667
"ERCC-00112",1231.04135050028,7.07788830935957e-09,0.5
"ERCC-00113",12322.1481639389,0.000215515134676736,0.667
"ERCC-00116",1118.1377094241,1.89802232592075e-12,4
"ERCC-00126",167.692026187163,0.881238272731691,1
"ERCC-00130",16369.2083904093,0.90118790645634,4
"ERCC-00131",971.523409876392,7.73277382980831e-13,4
"ERCC-00136",6877.14787980438,1.41520436947669e-10,4
"ERCC-00137",125.039377950475,0.476342816257562,0.5
"ERCC-00143",160.580746300625,0.0220851220185648,0.667
"ERCC-00144",333.787978294635,1.69887982745574e-11,4
"ERCC-00145",5619.42105255002,1.03913847860823e-05,0.667
"ERCC-00148",259.867595321536,0.100292716156194,1
"ERCC-00150",139.838646539044,0.326784947432904,1
"ERCC-00154",165.345610287867,7.59000740261872e-08,4
"ERCC-00157",190.581453733741,0.0191437115351689,0.667
"ERCC-00160",437.258044481598,4.05305833193665e-10,0.5
"ERCC-00162",1473.43925600173,1.59485716870583e-07,0.667
"ERCC-00163",279.973578792547,1.11887868895993e-06,0.5
"ERCC-00165",1284.67219822157,4.02504991510896e-09,0.5
"ERCC-00170",171.990304306699,4.49966349279053e-08,4
"ERCC-00171",11897.6421682998,0.139639789549668,1
