"Feature","MnSignal","Pval","LogPval","F.stat","Fold","Den.df"
"Sim0.5Fold1",2,0.915079084522648,-0.0887447862692812,0.0116851821396548,0.5,12.5423213601812
"Sim0.5Fold2",9.25,0.01186713345474,-4.43398259449231,7.78255792058064,0.5,12.5423213601812
"Sim0.5Fold3",4.75,0.169320701977783,-1.77596071747347,2.04521319335673,0.5,12.5423213601812
"Sim0.5Fold4",12.75,0.581735830743131,-0.541738833360849,0.314349111990158,0.5,12.5423213601812
"Sim0.5Fold5",25.125,0.000653113850582745,-7.3337590938349,16.719486618274,0.5,12.5423213601812
"Sim0.5Fold6",33.375,0.000872610574486592,-7.04402117898171,15.6866824824268,0.5,12.5423213601812
"Sim0.5Fold7",52.625,0.0032677469810151,-5.7236545281717,11.3877041102599,0.5,12.5423213601812
"Sim0.5Fold8",73.5,2.18147604502528e-05,-10.7329237324138,31.6764924141629,0.5,12.5423213601812
"Sim0.5Fold9",102.75,0.000462897354722708,-7.67800522451951,17.9910713449519,0.5,12.5423213601812
"Sim0.5Fold10",158.75,1.37113383406723e-05,-11.1972874513081,34.1882526512708,0.5,12.5423213601812
"Sim0.5Fold11",198.625,8.94500141647599e-08,-16.2295858686378,71.3350048242733,0.5,12.5423213601812
"Sim0.5Fold12",272.625,1.2329820531211e-07,-15.9086599823394,68.3146517577129,0.5,12.5423213601812
"Sim0.5Fold13",326.5,1.99207855505964e-07,-15.4289170573026,63.9907097644685,0.5,12.5423213601812
"Sim0.5Fold14",448.375,4.67378432881875e-10,-21.4838818376315,139.065244828857,0.5,12.5423213601812
"Sim0.5Fold15",567.25,1.20835564731889e-09,-20.5340053707317,123.815731816805,0.5,12.5423213601812
"Sim0.5Fold16",684.5,1.37732913021986e-10,-22.7057047189871,161.126132150723,0.5,12.5423213601812
"Sim0.5Fold17",836.125,7.14541480182533e-09,-18.7567949724106,99.1628649661211,0.5,12.5423213601812
"Sim0.5Fold18",1042.75,2.89670928551802e-10,-21.9622755663723,147.35821858926,0.5,12.5423213601812
"Sim0.5Fold19",1240.875,1.89263403773463e-12,-26.9930515863557,266.188245002847,0.5,12.5423213601812
"Sim0.5Fold20",1380,8.9353938397297e-13,-27.7435859829693,290.116429091954,0.5,12.5423213601812
"Sim0.5Fold21",1627.375,1.17801072112916e-12,-27.4671939296122,281.078488990256,0.5,12.5423213601812
"Sim0.5Fold22",1913.25,2.9030465807896e-14,-31.1704305712607,427.723427651542,0.5,12.5423213601812
"Sim0.5Fold23",2109.125,1.7335877335745e-13,-29.383413113403,349.652505303406,0.5,12.5423213601812
"Sim0.5Fold24",2307.375,1.59074677877899e-15,-34.074572816752,591.542334813297,0.5,12.5423213601812
"Sim0.5Fold25",2665.875,8.90357015686628e-16,-34.6549091503813,630.891839415467,0.5,12.5423213601812
"Sim0.5Fold26",2986.5,6.59620443064459e-15,-32.6522819975698,504.906881735648,0.5,12.5423213601812
"Sim0.5Fold27",3245.875,2.28217823255582e-17,-38.3188162288472,945.207772170893,0.5,12.5423213601812
"Sim0.5Fold28",3593.5,2.23926589343066e-16,-36.0352134018988,735.000720365631,0.5,12.5423213601812
"Sim0.5Fold29",3821,7.29329797498279e-16,-34.8544056470679,644.99764911415,0.5,12.5423213601812
"Sim0.5Fold30",4263.125,3.03003129755451e-16,-35.7327885392109,710.846374307767,0.5,12.5423213601812
"Sim0.5Fold31",4595.625,5.92866164348417e-17,-37.36414808586,850.997050387666,0.5,12.5423213601812
"Sim0.5Fold32",5074.875,6.25933374971892e-18,-39.6124579242022,1089.38033018625,0.5,12.5423213601812
"Sim0.5Fold33",5446.5,8.01243162077485e-18,-39.3655373857511,1060.28637227799,0.5,12.5423213601812
"Sim0.5Fold34",5954.5,9.70274705353221e-17,-36.8715375340883,806.048849215352,0.5,12.5423213601812
"Sim0.5Fold35",6488.875,2.45360460308977e-18,-40.5489734640212,1207.04630468268,0.5,12.5423213601812
"Sim0.5Fold36",7075.75,4.54574964384729e-18,-39.932339021724,1128.24173964916,0.5,12.5423213601812
"Sim0.5Fold37",7826.75,2.00408261396922e-18,-40.7513452669844,1234.07250342086,0.5,12.5423213601812
