"Feature","MnCnt","Pval","Fold"
"ERCC-00002",17200.8570974211,0.233898462391054,0.5
"ERCC-00003",1998.09187628411,3.79660720765484e-05,0.5
"ERCC-00004",13007.5925027069,2.55409058466161e-05,4
"ERCC-00009",9318.50125369306,0.252343652764791,1
"ERCC-00012",99.3223639931662,0.297840078455723,0.667
"ERCC-00013",116.990472642824,0.0190702583006937,0.5
"ERCC-00014",143.980547631601,0.00122116142995187,0.5
"ERCC-00016",104.420979399624,0.527828134078166,0.667
"ERCC-00017",96.1691861642974,0.209343696171686,4
"ERCC-00019",385.509000764688,1.00987281268112e-09,4
"ERCC-00022",1529.84520282319,2.32234523771019e-07,0.5
"ERCC-00024",98.2290641949932,0.697599362498161,0.667
"ERCC-00025",586.000103128705,0.0875526002764596,1
"ERCC-00028",114.881708004432,0.00587968042213498,4
"ERCC-00031",104.537176902927,0.849761491351772,1
"ERCC-00033",102.579991696941,0.0338138469878223,4
"ERCC-00034",140.639834644742,0.955742939820236,1
"ERCC-00035",519.430375008271,0.00710532542561693,1
"ERCC-00039",164.629335111686,0.000295216858154692,0.667
"ERCC-00040",110.111375809215,0.524403008530154,0.667
"ERCC-00041",103.203404111941,0.769850202432816,0.5
"ERCC-00042",3355.10018321634,0.0896482319644656,1
"ERCC-00043",3500.99213932076,1.0625071825362e-06,0.5
"ERCC-00044",1079.95584853531,2.35577578088658e-06,0.667
"ERCC-00046",12217.3771932584,0.000432848781777801,0.5
"ERCC-00048",90.9004520394061,0.313553288610111,0.5
"ERCC-00051",615.597429760076,0.216226267203858,1
"ERCC-00053",319.475236467182,0.318066497365798,1
"ERCC-00054",350.621028768327,3.89382741614306e-06,0.667
"ERCC-00057",91.2467048473055,0.256993842278312,0.667
"ERCC-00058",111.626434013108,0.236059294011394,0.667
"ERCC-00059",469.952438750553,3.5547996482591e-06,0.5
"ERCC-00060",3792.16432699339,0.0500003993521373,1
"ERCC-00061",94.5960500699094,0.35408710859517,0.5
"ERCC-00062",424.148575287665,1.82218031672468e-07,4
"ERCC-00067",137.225175821785,0.447781996742046,1
"ERCC-00069",160.912129069897,6.18832584059428e-06,0.5
"ERCC-00071",1129.17427653123,8.88760711243159e-08,0.667
"ERCC-00073",128.024722417274,0.805305092482209,1
"ERCC-00074",15524.6407905534,0.83631476832087,0.667
"ERCC-00075",91.9906189664273,0.0590916260096403,1
"ERCC-00076",2175.38157716189,0.000186599128046707,0.667
"ERCC-00077",189.662290026919,4.1503610512752e-05,0.5
"ERCC-00078",721.044275140384,2.04684459510821e-07,0.5
"ERCC-00079",1212.2565140693,9.52574415458887e-09,0.5
"ERCC-00081",98.2437884646222,0.960001737382215,0.5
"ERCC-00083",90.2375780837832,0.140737850842898,4
"ERCC-00084",475.469795170547,8.17629573697174e-06,0.667
"ERCC-00085",149.779472514102,0.00408759549086756,4
"ERCC-00086",92.7723113755693,0.867055734733683,0.5
"ERCC-00092",1526.48461744651,8.09957702449907e-09,4
"ERCC-00095",1274.11926992606,8.58948673456495e-09,4
"ERCC-00096",16921.4832390915,0.508665304308369,1
"ERCC-00097",101.252952919754,0.106732915836847,4
"ERCC-00098",91.5048802377152,0.619907264657719,0.667
"ERCC-00099",262.945719973542,6.26586164044828e-05,0.667
"ERCC-00104",95.2027397855098,0.248589521208394,1
"ERCC-00108",5077.14055791647,6.10931906187383e-08,4
"ERCC-00109",99.6037644595783,0.453531393062804,1
"ERCC-00111",3166.87695541677,4.05315087270239e-07,0.667
"ERCC-00112",1231.04135050028,4.4540651342393e-06,0.5
"ERCC-00113",12322.1481639389,0.000523972577808052,0.667
"ERCC-00116",1118.1377094241,8.08393376433891e-09,4
"ERCC-00117",92.3862725486142,0.214438855244718,1
"ERCC-00120",108.697352891076,0.22269792902248,0.667
"ERCC-00123",93.5286148177603,0.208962387405387,4
"ERCC-00126",167.692026187163,0.876274483343622,1
"ERCC-00130",16369.2083904093,0.886310047840581,4
"ERCC-00131",971.523409876392,5.72036892193118e-09,4
"ERCC-00134",120.203385355169,0.000427073226595761,4
"ERCC-00136",6877.14787980438,1.23847365841968e-07,4
"ERCC-00137",125.039377950475,0.488621947466437,0.5
"ERCC-00138",97.4737882648101,0.679927318163788,1
"ERCC-00142",93.8429837103543,0.603352340945254,1
"ERCC-00143",160.580746300625,0.0187674997313215,0.667
"ERCC-00144",333.787978294635,1.60553617776065e-08,4
"ERCC-00145",5619.42105255002,8.21217411612397e-05,0.667
"ERCC-00147",94.6816151739377,0.0123864667049631,4
"ERCC-00148",259.867595321536,0.0542034019228362,1
"ERCC-00150",139.838646539044,0.31126744476023,1
"ERCC-00154",165.345610287867,8.07886123764826e-07,4
"ERCC-00156",99.9685888052748,0.428615157159616,4
"ERCC-00157",190.581453733741,0.0168915532730282,0.667
"ERCC-00158",100.380793111928,0.84219042575364,1
"ERCC-00160",437.258044481598,1.10187323429527e-07,0.5
"ERCC-00162",1473.43925600173,7.0112955030644e-06,0.667
"ERCC-00163",279.973578792547,5.06305372228566e-05,0.5
"ERCC-00164",112.602437202617,0.301267048319128,0.667
"ERCC-00165",1284.67219822157,2.40572507167696e-06,0.5
"ERCC-00168",98.0764392612892,0.278104251338521,0.5
"ERCC-00170",171.990304306699,6.78688222869684e-07,4
"ERCC-00171",11897.6421682998,0.138637145830863,1
