"Feature","MnCnt","Pval","LogPval","F.stat","Fold","Den.df"
"Sim0.5Fold1",1.375,0.273790851725834,-1.29539077893642,1.25375333334485,0.5,18.2814826626146
"Sim0.5Fold2",7.625,0.100766124935225,-2.29495304197695,2.91048904993846,0.5,18.2814826626146
"Sim0.5Fold3",9.25,0.608523241447019,-0.496720172629854,0.269264159996425,0.5,18.2814826626146
"Sim0.5Fold4",12.25,0.0710373924804583,-2.64454888592037,3.5644117278044,0.5,18.2814826626146
"Sim0.5Fold5",23.25,0.0574602223617098,-2.85666235558624,3.97734971149938,0.5,18.2814826626146
"Sim0.5Fold6",35,0.0154671091889531,-4.16903949747261,6.78307047752652,0.5,18.2814826626146
"Sim0.5Fold7",57.875,0.00060801874455902,-7.40530484660653,15.4965567010648,0.5,18.2814826626146
"Sim0.5Fold8",72.5,3.63351207106132e-05,-10.2227257717431,25.4067830768608,0.5,18.2814826626146
"Sim0.5Fold9",112,8.53769163911657e-06,-11.6710198865706,31.5019705593796,0.5,18.2814826626146
"Sim0.5Fold10",154.75,3.21280086168512e-06,-12.6483674586853,36.05415822734,0.5,18.2814826626146
"Sim0.5Fold11",188.75,4.48593129388747e-08,-16.9197346236454,60.930515025377,0.5,18.2814826626146
"Sim0.5Fold12",267.875,1.56720105458356e-09,-20.2739745763891,87.6668990973105,0.5,18.2814826626146
"Sim0.5Fold13",354.125,4.53211036345093e-09,-19.2120781420359,78.3883667969412,0.5,18.2814826626146
"Sim0.5Fold14",429.25,1.11527103034669e-07,-16.0089981990404,54.8630920460276,0.5,18.2814826626146
"Sim0.5Fold15",552.25,1.18255845398788e-11,-25.1607557502244,142.598937374484,0.5,18.2814826626146
"Sim0.5Fold16",621.5,1.1382909259664e-11,-25.1989080731833,143.120842050554,0.5,18.2814826626146
"Sim0.5Fold17",862,2.16703311978785e-11,-24.5550770167925,134.529734583755,0.5,18.2814826626146
"Sim0.5Fold18",1017.625,1.20787432369479e-13,-29.7447441514987,218.676893863205,0.5,18.2814826626146
