"Feature","MnCnt","Pval","LogPval","F.stat","Fold","Den.df"
"ERCC-00002",1162406.125,2.85322654902012e-08,-17.372230267576,64.1302017066317,0.5,18.276499831207
"ERCC-00003",95757.625,1.68096003591786e-23,-52.4400920587121,1546.78027265981,0.5,18.276499831207
"ERCC-00004",128395.25,2.0861234008831e-30,-68.3422452782892,5796.31186543915,4,18.276499831207
"ERCC-00009",36223.125,0.531882388142069,-0.631332889002079,0.402207875081068,1,18.276499831207
"ERCC-00012",7.25,0.576499355503491,-0.550781057220758,0.320507454472786,0.667,18.276499831207
"ERCC-00013",97.625,3.42835999410031e-06,-12.5834285469606,35.7440292532809,0.5,18.276499831207
"ERCC-00014",67.125,0.000156224640756735,-8.76421558167659,19.9798649683878,0.5,18.276499831207
"ERCC-00016",6.25,0.313383249865552,-1.16032839699283,1.05991544504778,0.667,18.276499831207
"ERCC-00017",3.25,0.00906513872014316,-4.7033191320636,8.04450822326548,4,18.276499831207
"ERCC-00019",679.875,5.1717701432719e-17,-37.5007315634996,435.25425613414,4,18.276499831207
"ERCC-00022",11023.625,9.2005395113828e-20,-43.8324397350037,749.272528393237,0.5,18.276499831207
"ERCC-00024",9.25,0.9974743902001,-0.00252880453256298,1.02281279707606e-05,0.667,18.276499831207
"ERCC-00025",2123.625,0.598686489325017,-0.513017207991587,0.284390873371892,1,18.276499831207
"ERCC-00028",128.5,2.31936713826526e-11,-24.4871416596994,133.683679899286,4,18.276499831207
"ERCC-00031",97.5,0.388306425488146,-0.945960494639615,0.771691276545692,1,18.276499831207
"ERCC-00033",54.125,1.18498457989153e-05,-11.3431957032176,30.0595983175879,4,18.276499831207
"ERCC-00034",813.25,0.761798426965078,-0.272073289832023,0.0939739846269375,1,18.276499831207
"ERCC-00035",4181.75,0.193260005162281,-1.64371881969939,1.79054057326283,1,18.276499831207
"ERCC-00039",174.5,0.000623525743903734,-7.38012050435617,15.4193074902042,0.667,18.276499831207
"ERCC-00040",41.375,0.448100182044922,-0.802738450930533,0.594563637192334,0.667,18.276499831207
"ERCC-00041",18.875,0.0665497888985081,-2.70980490621955,3.69025413487165,0.5,18.276499831207
"ERCC-00042",26815.5,0.0831853360484961,-2.48668419610584,3.26497080844002,1,18.276499831207
"ERCC-00043",48165.25,4.70010137457549e-23,-51.411873061321,1419.25456788587,0.5,18.276499831207
"ERCC-00044",3102.375,6.83516331202611e-11,-23.4063556595508,120.318875906249,0.667,18.276499831207
"ERCC-00046",204700.25,1.61845111397409e-23,-52.4779875494614,1551.68983076493,0.5,18.276499831207
"ERCC-00048",3.5,0.482227773082838,-0.72933871828888,0.509345693161223,0.5,18.276499831207
"ERCC-00051",528.75,0.718750776907867,-0.330240605955868,0.13275125809386,1,18.276499831207
"ERCC-00053",1505.125,0.85276501699432,-0.159271247760079,0.0351862062607611,1,18.276499831207
"ERCC-00054",290.25,0.00159745912090599,-6.43934096145722,12.6202582686705,0.667,18.276499831207
"ERCC-00058",101.75,0.000786543715266592,-7.14786225498057,14.7064526413047,0.667,18.276499831207
"ERCC-00059",855.5,4.31055003028466e-12,-26.1699556027199,157.015835683429,0.5,18.276499831207
"ERCC-00060",12989.5,0.127119755275229,-2.06262568190319,2.49543277574991,1,18.276499831207
"ERCC-00061",4.5,0.402329720464155,-0.910483326383866,0.726566357445295,0.5,18.276499831207
